,sentence,questions,answers,removed,phrases
0,"In the case current file handle represents an object of type NFS4DIR, NFS4ERR _ISDIR is returned.",['What current file handle represents an object of type NFS4DIR?'],"['<np>the case current file handle represents an object of type NFS4DIR<np> <vp>is returned<vp>', '<np>type NFS4DIR<np> <vp>represents an object of type NFS4DIR<vp>', '<np>type NFS4DIR<np> <vp>is returned<vp>']","['<np>the case current file handle represents an object of type NFS4DIR<np> <vp>represents an object of type NFS4DIR<vp>', '<np>the case current file handle represents an object of type NFS4DIR<np> <vp>returned<vp>', '<np>the case<np> <vp>represents an object of type NFS4DIR<vp>', '<np>the case<np> <vp>is returned<vp>', '<np>the case<np> <vp>returned<vp>', '<np>current file handle<np> <vp>represents an object of type NFS4DIR<vp>', '<np>current file handle<np> <vp>is returned<vp>', '<np>current file handle<np> <vp>returned<vp>', '<np>an object of type NFS4DIR<np> <vp>represents an object of type NFS4DIR<vp>', '<np>an object of type NFS4DIR<np> <vp>is returned<vp>', '<np>an object of type NFS4DIR<np> <vp>returned<vp>', '<np>an object<np> <vp>represents an object of type NFS4DIR<vp>', '<np>an object<np> <vp>is returned<vp>', '<np>an object<np> <vp>returned<vp>', '<np>type NFS4DIR<np> <vp>returned<vp>', '<np>NFS4ERR _ISDIR<np> <vp>represents an object of type NFS4DIR<vp>', '<np>NFS4ERR _ISDIR<np> <vp>is returned<vp>', '<np>NFS4ERR _ISDIR<np> <vp>returned<vp>']","{'PP': [In the case current file handle represents an object of type NFS4DIR, of type NFS4DIR], 'NP': [the case current file handle represents an object of type NFS4DIR, the case, current file handle, an object of type NFS4DIR, an object, type NFS4DIR, NFS4ERR _ISDIR], 'SBAR': [current file handle represents an object of type NFS4DIR], 'VP': [represents an object of type NFS4DIR, is returned, returned]}"
1,"If the file does not exist at the server and creation is desired, specification of the method of creation is provided by the openhow parameter.",['What If the file does not exist at the server and creation is desired?'],"['<np>creation<np> <vp>exist at the server<vp>', '<np>specification of the method of creation<np> <vp>exist at the server<vp>', '<np>specification of the method of creation<np> <vp>is provided by the openhow parameter<vp>', '<np>the method<np> <vp>does not exist at the server<vp>', '<np>creation<np> <vp>desired<vp>', '<np>creation<np> <vp>is provided by the openhow parameter<vp>', '<np>the openhow parameter<np> <vp>is desired<vp>', '<np>the openhow parameter<np> <vp>provided by the openhow parameter<vp>']","['<np>the file<np> <vp>does not exist at the server<vp>', '<np>the file<np> <vp>exist at the server<vp>', '<np>the file<np> <vp>is desired<vp>', '<np>the file<np> <vp>desired<vp>', '<np>the file<np> <vp>is provided by the openhow parameter<vp>', '<np>the file<np> <vp>provided by the openhow parameter<vp>', '<np>the server<np> <vp>does not exist at the server<vp>', '<np>the server<np> <vp>exist at the server<vp>', '<np>the server<np> <vp>is desired<vp>', '<np>the server<np> <vp>desired<vp>', '<np>the server<np> <vp>is provided by the openhow parameter<vp>', '<np>the server<np> <vp>provided by the openhow parameter<vp>', '<np>creation<np> <vp>does not exist at the server<vp>', '<np>creation<np> <vp>is desired<vp>', '<np>creation<np> <vp>provided by the openhow parameter<vp>', '<np>specification of the method of creation<np> <vp>does not exist at the server<vp>', '<np>specification of the method of creation<np> <vp>is desired<vp>', '<np>specification of the method of creation<np> <vp>desired<vp>', '<np>specification of the method of creation<np> <vp>provided by the openhow parameter<vp>', '<np>specification<np> <vp>does not exist at the server<vp>', '<np>specification<np> <vp>exist at the server<vp>', '<np>specification<np> <vp>is desired<vp>', '<np>specification<np> <vp>desired<vp>', '<np>specification<np> <vp>is provided by the openhow parameter<vp>', '<np>specification<np> <vp>provided by the openhow parameter<vp>', '<np>the method of creation<np> <vp>does not exist at the server<vp>', '<np>the method of creation<np> <vp>exist at the server<vp>', '<np>the method of creation<np> <vp>is desired<vp>', '<np>the method of creation<np> <vp>desired<vp>', '<np>the method of creation<np> <vp>is provided by the openhow parameter<vp>', '<np>the method of creation<np> <vp>provided by the openhow parameter<vp>', '<np>the method<np> <vp>exist at the server<vp>', '<np>the method<np> <vp>is desired<vp>', '<np>the method<np> <vp>desired<vp>', '<np>the method<np> <vp>is provided by the openhow parameter<vp>', '<np>the method<np> <vp>provided by the openhow parameter<vp>', '<np>creation<np> <vp>does not exist at the server<vp>', '<np>creation<np> <vp>is desired<vp>', '<np>creation<np> <vp>provided by the openhow parameter<vp>', '<np>the openhow parameter<np> <vp>does not exist at the server<vp>', '<np>the openhow parameter<np> <vp>exist at the server<vp>', '<np>the openhow parameter<np> <vp>desired<vp>', '<np>the openhow parameter<np> <vp>is provided by the openhow parameter<vp>']","{'SBAR': [If the file does not exist at the server and creation is desired], 'S': [the file does not exist at the server and creation is desired, the file does not exist at the server, creation is desired], 'NP': [the file, the server, creation, specification of the method of creation, specification, the method of creation, the method, creation, the openhow parameter], 'VP': [does not exist at the server, exist at the server, is desired, desired, is provided by the openhow parameter, provided by the openhow parameter], 'PP': [at the server, of the method of creation, of creation, by the openhow parameter]}"
2,"The client has the choice of three creation methods: UNCHECKED4, GUARDED4, or EXCLUSIVE4",[],[],[],"{'NP': [The client, the choice of three creation methods: UNCHECKED4, GUARDED4, or EXCLUSIVE4, the choice, three creation methods: UNCHECKED4, GUARDED4, or EXCLUSIVE4, three creation methods, UNCHECKED4, GUARDED4, or EXCLUSIVE4, UNCHECKED4, GUARDED4, EXCLUSIVE4], 'VP': [has the choice of three creation methods: UNCHECKED4, GUARDED4, or EXCLUSIVE4], 'PP': [of three creation methods: UNCHECKED4, GUARDED4, or EXCLUSIVE4]}"
3,"If the current filehandle is a named attribute directory, OPEN will then create or open a named attribute file.","['What If the current filehandle is a named attribute directory?', 'What then']","['<np>OPEN<np> <vp>create or open a named attribute file<vp>', '<np>a named attribute file<np> <vp>is a named attribute directory<vp>', '<np>a named attribute file<np> <vp>will then create or open a named attribute file<vp>']","['<np>the current filehandle<np> <vp>is a named attribute directory<vp>', '<np>the current filehandle<np> <vp>will then create or open a named attribute file<vp>', '<np>the current filehandle<np> <vp>create or open a named attribute file<vp>', '<np>a named attribute directory<np> <vp>is a named attribute directory<vp>', '<np>a named attribute directory<np> <vp>will then create or open a named attribute file<vp>', '<np>a named attribute directory<np> <vp>create or open a named attribute file<vp>', '<np>OPEN<np> <vp>is a named attribute directory<vp>', '<np>OPEN<np> <vp>will then create or open a named attribute file<vp>', '<np>a named attribute file<np> <vp>create or open a named attribute file<vp>']","{'SBAR': [If the current filehandle is a named attribute directory], 'S': [the current filehandle is a named attribute directory], 'NP': [the current filehandle, a named attribute directory, OPEN, a named attribute file], 'VP': [is a named attribute directory, will then create or open a named attribute file, create or open a named attribute file], 'ADVP': [then]}"
4,"For this type of create, createattrs specifies the initial set of attributes for the file.",[],[],[],"{'PP': [For this type of create, of create, of attributes, for the file], 'NP': [this type of create, this type, create, createattrs, the initial set of attributes for the file, the initial set, attributes, the file], 'VP': [specifies the initial set of attributes for the file]}"
5,The set of attributes may include any writable attribute valid for regular files.,[],[],[],"{'NP': [The set of attributes, The set, attributes, any writable attribute valid for regular files, any writable attribute, regular files], 'PP': [of attributes, for regular files], 'VP': [may include any writable attribute valid for regular files, include any writable attribute valid for regular files], 'ADJP': [valid for regular files]}"
6,"When an UNCHECKED create encounters an existing file, the attributes specified by createattrs are not used, except that when a size of zero is specified, the existing file is truncated","['What When an UNCHECKED create encounters an existing file?', 'What except that when a size of zero is specified, the existing file is truncated?', 'What that when a size of zero is specified, the existing file is truncated?', 'What when a size of zero is specified?']","['<np>an UNCHECKED create<np> <vp>specified<vp>', '<np>an UNCHECKED create<np> <vp>truncated<vp>', '<np>an existing file<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>specified<vp>', '<np>the attributes specified by createattrs<np> <vp>is truncated<vp>', '<np>the attributes<np> <vp>specified by createattrs<vp>', '<np>the attributes<np> <vp>is specified<vp>', '<np>createattrs<np> <vp>encounters an existing file<vp>', '<np>createattrs<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>createattrs<np> <vp>is specified<vp>', '<np>a size<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size<np> <vp>is specified<vp>', '<np>a size<np> <vp>is truncated<vp>', '<np>zero<np> <vp>specified<vp>', '<np>the existing file<np> <vp>specified by createattrs<vp>', '<np>the existing file<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the existing file<np> <vp>is specified<vp>', '<np>an existing file<np> <vp>encounters an existing file<vp>', '<np>the attributes specified by createattrs<np> <vp>encounters an existing file<vp>', '<np>the attributes specified by createattrs<np> <vp>specified by createattrs<vp>', '<np>a size of zero<np> <vp>is truncated<vp>', '<np>a size<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>truncated<vp>', '<np>an UNCHECKED create<np> <vp>encounters an existing file<vp>', '<np>an UNCHECKED create<np> <vp>specified by createattrs<vp>', '<np>an UNCHECKED create<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes<np> <vp>truncated<vp>', '<np>createattrs<np> <vp>is truncated<vp>', '<np>an existing file<np> <vp>is truncated<vp>', '<np>the attributes<np> <vp>encounters an existing file<vp>', '<np>createattrs<np> <vp>specified by createattrs<vp>', '<np>a size of zero<np> <vp>specified<vp>', '<np>a size<np> <vp>encounters an existing file<vp>', '<np>a size<np> <vp>specified by createattrs<vp>']","['<np>an UNCHECKED create<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an UNCHECKED create<np> <vp>is specified<vp>', '<np>an UNCHECKED create<np> <vp>is truncated<vp>', '<np>an existing file<np> <vp>specified by createattrs<vp>', '<np>an existing file<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an existing file<np> <vp>is specified<vp>', '<np>an existing file<np> <vp>specified<vp>', '<np>an existing file<np> <vp>truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>is specified<vp>', '<np>the attributes specified by createattrs<np> <vp>truncated<vp>', '<np>the attributes<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes<np> <vp>specified<vp>', '<np>the attributes<np> <vp>is truncated<vp>', '<np>createattrs<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>createattrs<np> <vp>specified<vp>', '<np>createattrs<np> <vp>truncated<vp>', '<np>a size of zero<np> <vp>encounters an existing file<vp>', '<np>a size of zero<np> <vp>specified by createattrs<vp>', '<np>a size of zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>is specified<vp>', '<np>a size of zero<np> <vp>truncated<vp>', '<np>a size<np> <vp>specified<vp>', '<np>a size<np> <vp>truncated<vp>', '<np>zero<np> <vp>encounters an existing file<vp>', '<np>zero<np> <vp>specified by createattrs<vp>', '<np>zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>is specified<vp>', '<np>zero<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>encounters an existing file<vp>', '<np>the existing file<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the existing file<np> <vp>specified<vp>', '<np>the existing file<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>truncated<vp>', '<np>an UNCHECKED create<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an UNCHECKED create<np> <vp>is specified<vp>', '<np>an UNCHECKED create<np> <vp>is truncated<vp>', '<np>an existing file<np> <vp>specified by createattrs<vp>', '<np>an existing file<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an existing file<np> <vp>is specified<vp>', '<np>an existing file<np> <vp>specified<vp>', '<np>an existing file<np> <vp>truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>is specified<vp>', '<np>the attributes specified by createattrs<np> <vp>truncated<vp>', '<np>the attributes<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes<np> <vp>specified<vp>', '<np>the attributes<np> <vp>is truncated<vp>', '<np>createattrs<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>createattrs<np> <vp>specified<vp>', '<np>createattrs<np> <vp>truncated<vp>', '<np>a size of zero<np> <vp>encounters an existing file<vp>', '<np>a size of zero<np> <vp>specified by createattrs<vp>', '<np>a size of zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>is specified<vp>', '<np>a size of zero<np> <vp>truncated<vp>', '<np>a size<np> <vp>specified<vp>', '<np>a size<np> <vp>truncated<vp>', '<np>zero<np> <vp>encounters an existing file<vp>', '<np>zero<np> <vp>specified by createattrs<vp>', '<np>zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>is specified<vp>', '<np>zero<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>encounters an existing file<vp>', '<np>the existing file<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the existing file<np> <vp>specified<vp>', '<np>the existing file<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>truncated<vp>', '<np>an UNCHECKED create<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an UNCHECKED create<np> <vp>is specified<vp>', '<np>an UNCHECKED create<np> <vp>is truncated<vp>', '<np>an existing file<np> <vp>specified by createattrs<vp>', '<np>an existing file<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an existing file<np> <vp>is specified<vp>', '<np>an existing file<np> <vp>specified<vp>', '<np>an existing file<np> <vp>truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>is specified<vp>', '<np>the attributes specified by createattrs<np> <vp>truncated<vp>', '<np>the attributes<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes<np> <vp>specified<vp>', '<np>the attributes<np> <vp>is truncated<vp>', '<np>createattrs<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>createattrs<np> <vp>specified<vp>', '<np>createattrs<np> <vp>truncated<vp>', '<np>a size of zero<np> <vp>encounters an existing file<vp>', '<np>a size of zero<np> <vp>specified by createattrs<vp>', '<np>a size of zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>is specified<vp>', '<np>a size of zero<np> <vp>truncated<vp>', '<np>a size<np> <vp>specified<vp>', '<np>a size<np> <vp>truncated<vp>', '<np>zero<np> <vp>encounters an existing file<vp>', '<np>zero<np> <vp>specified by createattrs<vp>', '<np>zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>is specified<vp>', '<np>zero<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>encounters an existing file<vp>', '<np>the existing file<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the existing file<np> <vp>specified<vp>', '<np>the existing file<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>truncated<vp>', '<np>an UNCHECKED create<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an UNCHECKED create<np> <vp>is specified<vp>', '<np>an UNCHECKED create<np> <vp>is truncated<vp>', '<np>an existing file<np> <vp>specified by createattrs<vp>', '<np>an existing file<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>an existing file<np> <vp>is specified<vp>', '<np>an existing file<np> <vp>specified<vp>', '<np>an existing file<np> <vp>truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes specified by createattrs<np> <vp>is specified<vp>', '<np>the attributes specified by createattrs<np> <vp>truncated<vp>', '<np>the attributes<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the attributes<np> <vp>specified<vp>', '<np>the attributes<np> <vp>is truncated<vp>', '<np>createattrs<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>createattrs<np> <vp>specified<vp>', '<np>createattrs<np> <vp>truncated<vp>', '<np>a size of zero<np> <vp>encounters an existing file<vp>', '<np>a size of zero<np> <vp>specified by createattrs<vp>', '<np>a size of zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>a size of zero<np> <vp>is specified<vp>', '<np>a size of zero<np> <vp>truncated<vp>', '<np>a size<np> <vp>specified<vp>', '<np>a size<np> <vp>truncated<vp>', '<np>zero<np> <vp>encounters an existing file<vp>', '<np>zero<np> <vp>specified by createattrs<vp>', '<np>zero<np> <vp>are not used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>zero<np> <vp>is specified<vp>', '<np>zero<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>encounters an existing file<vp>', '<np>the existing file<np> <vp>used, except that when a size of zero is specified, the existing file is truncated<vp>', '<np>the existing file<np> <vp>specified<vp>', '<np>the existing file<np> <vp>is truncated<vp>', '<np>the existing file<np> <vp>truncated<vp>']","{'SBAR': [When an UNCHECKED create encounters an existing file, except that when a size of zero is specified, the existing file is truncated, that when a size of zero is specified, the existing file is truncated, when a size of zero is specified], 'WHADVP': [When, when], 'S': [an UNCHECKED create encounters an existing file, when a size of zero is specified, the existing file is truncated, a size of zero is specified], 'NP': [an UNCHECKED create, an existing file, the attributes specified by createattrs, the attributes, createattrs, a size of zero, a size, zero, the existing file], 'VP': [encounters an existing file, specified by createattrs, are not used, except that when a size of zero is specified, the existing file is truncated, used, except that when a size of zero is specified, the existing file is truncated, is specified, specified, is truncated, truncated], 'PP': [by createattrs, of zero]}"
7,"If GUARDED4 is specified, the server checks for the presence of a duplicate object by name before perfoming the create.",['What If GUARDED4 is specified?'],"['<np>the presence of a duplicate object<np> <vp>is specified<vp>', '<np>the create<np> <vp>specified<vp>', '<np>the create<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>']","['<np>GUARDED4<np> <vp>is specified<vp>', '<np>GUARDED4<np> <vp>specified<vp>', '<np>GUARDED4<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>', '<np>the server<np> <vp>is specified<vp>', '<np>the server<np> <vp>specified<vp>', '<np>the server<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>', '<np>the presence of a duplicate object<np> <vp>specified<vp>', '<np>the presence of a duplicate object<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>', '<np>the presence<np> <vp>is specified<vp>', '<np>the presence<np> <vp>specified<vp>', '<np>the presence<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>', '<np>a duplicate object<np> <vp>is specified<vp>', '<np>a duplicate object<np> <vp>specified<vp>', '<np>a duplicate object<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>', '<np>name<np> <vp>is specified<vp>', '<np>name<np> <vp>specified<vp>', '<np>name<np> <vp>checks for the presence of a duplicate object by name before perfoming the create<vp>', '<np>the create<np> <vp>is specified<vp>']","{'SBAR': [If GUARDED4 is specified], 'S': [GUARDED4 is specified, perfoming the create], 'NP': [GUARDED4, the server, the presence of a duplicate object, the presence, a duplicate object, name, the create], 'VP': [is specified, specified, checks for the presence of a duplicate object by name before perfoming the create], 'PP': [for the presence of a duplicate object, of a duplicate object, by name, before perfoming the create]}"
8,"If a duplicate exists, an error of NFS4ERR_EXIST is returned as the status.",['What If a duplicate exists?'],"['<np>the status<np> <vp>exists<vp>', '<np>a duplicate<np> <vp>returned as the status<vp>', '<np>an error of NFS4ERR_EXIST<np> <vp>returned as the status<vp>', '<np>an error of NFS4ERR_EXIST<np> <vp>exists<vp>', '<np>NFS4ERR_EXIST<np> <vp>returned as the status<vp>']","['<np>a duplicate<np> <vp>exists<vp>', '<np>a duplicate<np> <vp>is returned as the status<vp>', '<np>an error of NFS4ERR_EXIST<np> <vp>is returned as the status<vp>', '<np>an error<np> <vp>exists<vp>', '<np>an error<np> <vp>is returned as the status<vp>', '<np>an error<np> <vp>returned as the status<vp>', '<np>NFS4ERR_EXIST<np> <vp>exists<vp>', '<np>NFS4ERR_EXIST<np> <vp>is returned as the status<vp>', '<np>the status<np> <vp>is returned as the status<vp>', '<np>the status<np> <vp>returned as the status<vp>']","{'SBAR': [If a duplicate exists], 'S': [a duplicate exists], 'NP': [a duplicate, an error of NFS4ERR_EXIST, an error, NFS4ERR_EXIST, the status], 'VP': [exists, is returned as the status, returned as the status], 'PP': [of NFS4ERR_EXIST, as the status]}"
9,"If the object does not exist, the server creates the object and stores the verifier with the object.",['What If the object does not exist?'],"['<np>the object<np> <vp>does not exist<vp>', '<np>the object<np> <vp>creates the object and stores the verifier with the object<vp>', '<np>the object<np> <vp>creates the object<vp>', '<np>the object<np> <vp>exist<vp>', '<np>the object<np> <vp>stores the verifier with the object<vp>']","['<np>the server<np> <vp>does not exist<vp>', '<np>the server<np> <vp>exist<vp>', '<np>the server<np> <vp>creates the object and stores the verifier with the object<vp>', '<np>the server<np> <vp>creates the object<vp>', '<np>the server<np> <vp>stores the verifier with the object<vp>', '<np>the verifier<np> <vp>does not exist<vp>', '<np>the verifier<np> <vp>exist<vp>', '<np>the verifier<np> <vp>creates the object and stores the verifier with the object<vp>', '<np>the verifier<np> <vp>creates the object<vp>', '<np>the verifier<np> <vp>stores the verifier with the object<vp>']","{'SBAR': [If the object does not exist], 'S': [the object does not exist], 'NP': [the object, the server, the object, the verifier, the object], 'VP': [does not exist, exist, creates the object and stores the verifier with the object, creates the object, stores the verifier with the object], 'PP': [with the object]}"
